"","x"
"1",6263.72075899753
"2",6454.75386263459
"3",6686.39589402715
"4",6161.27367260387
"5",5363.03920556506
"6",5577.81790491702
"7",4919.09646284077
"8",5553.02613103144
"9",5930.27685777924
"10",6057.36116047118
"11",5623.80945707788
"12",5350.79987126418
"13",5747.15048014869
"14",5990.90373588949
"15",6324.73972469868
"16",6530.84487958692
"17",6730.81740366746
"18",6491.50723551543
"19",6246.92899305238
"20",6907.66211868709
"21",6331.86765868755
"22",6315.7063597338
"23",6133.96322936924
"24",6288.01590351679
"25",6752.03944491261
"26",6241.22083666653
"27",6431.58145531805
"28",5677.04655692109
"29",5947.93225612092
"30",6706.63679176982
"31",6939.2088475266
"32",6371.81178824515
"33",5680.3359614467
"34",5773.48696876272
"35",5791.88927914962
"36",6682.31149622114
"37",6015.72962004384
"38",6411.39555938776
"39",6136.02833996239
"40",5672.22090670443
"41",6169.85980211661
"42",5415.44142204951
"43",5522.48527471152
"44",5856.1292600683
"45",6204.02414748497
"46",6019.63968739543
"47",5723.11806341344
"48",5960.82060377421
"49",5889.70433046707
"50",5805.29071046851
"51",5829.90717882445
"52",5899.86380986518
"53",5715.1210643753
"54",5707.3539063706
"55",5957.88831740735
"56",5410.28755172555
"57",6081.38457504381
"58",5778.94923328435
"59",5948.64478061244
