"","x"
"1",5240.1712936414
"2",5003.30760070375
"3",4792.3723946101
"4",4874.06097460095
"5",4876.66792894142
"6",4829.70182615134
"7",4705.04226068388
"8",4704.59520223985
"9",4552.24988495093
"10",4383.32953156148
"11",4500.35627875708
"12",4565.70088663694
"13",4604.7027476911
"14",4589.02727929437
"15",4643.93767002139
"16",4556.52814071873
"17",4430.36492259511
"18",4484.66857349604
"19",4510.73731812974
"20",4572.99124981058
"21",4615.42060611464
"22",4678.20879951211
"23",4619.72262131922
"24",4499.66283003046
"25",4469.17041078081
"26",4446.60196728627
"27",4513.63760051935
"28",4579.56461888658
"29",4642.74352705428
"30",4597.01562978079
"31",4469.65763968507
"32",4370.68162004234
"33",4321.88809684694
"34",4380.64461360899
"35",4448.05285069289
"36",4496.07243270029
"37",4471.43523026583
"38",4357.52226727546
"39",4201.27574742709
"40",4132.02579338602
"41",4186.27422036167
"42",4226.59720788438
"43",4263.62766737984
"44",4274.80943212118
"45",4180.74657253377
"46",3987.31120416564
"47",3905.21284075936
"48",3965.08498558748
"49",3989.67504121709
"50",4034.96832521528
"51",4083.71938229495
"52",3954.51573293049
"53",3765.51554657918
"54",3701.42948713828
"55",3736.19448717
"56",3754.22552837989
"57",3797.8045655832
"58",3852.14846939729
"59",3687.58674590413
