"","x"
"1",5371.13988437043
"2",5799.73838862692
"3",5859.93210947777
"4",6030.00853246726
"5",6121.96967316072
"6",5870.92375062151
"7",5492.72931183789
"8",5752.37211461489
"9",5318.0427986954
"10",4622.54196153979
"11",4589.00198636778
"12",4820.19083995517
"13",4807.74801174376
"14",4447.71953780834
"15",4476.5735088982
"16",4391.43830825849
"17",4267.39396496306
"18",4618.50263940361
"19",5291.64948506956
"20",4990.0446229529
"21",4793.50703794086
"22",5126.65169552772
"23",5326.22669893539
"24",4915.34163422524
"25",4411.74809929102
"26",4015.07962330684
"27",4508.91325405171
"28",5162.11055146507
"29",5204.25107621401
"30",4684.59227208603
"31",4502.03113510752
"32",4471.53607425347
"33",4423.01158034001
"34",4379.2528786881
"35",3888.67076667434
"36",3744.95164916786
"37",3648.82555651297
"38",3821.80484290333
"39",3476.75604828603
"40",3254.71620587244
"41",3410.50564103962
"42",3919.69258605091
"43",3795.82717552865
"44",4010.14695661832
"45",3983.65589190558
"46",3537.20128754657
"47",3417.9382567742
"48",3502.28894433853
"49",4057.2632709171
"50",4489.03210747673
"51",4432.14776186796
"52",3936.79712210798
"53",3439.94156091757
"54",3648.3497312467
"55",3986.44311606294
"56",4105.50913114166
"57",4130.0064770209
"58",4265.22263315996
"59",4092.62665239786
