"","x"
"1",5130.12610009546
"2",4887.78482113605
"3",4690.86049882291
"4",4528.3565487625
"5",4392.67314403299
"6",4278.34376734384
"7",4181.30801189378
"8",4098.4698116552
"9",4027.41682368889
"10",3966.23533892501
"11",3913.38419520321
"12",3867.60643869429
"13",3827.86588710414
"14",3793.30056918343
"15",3763.18787948311
"16",3736.91804289283
"17",3713.97358953046
"18",3693.91325469275
"19",3676.35919000219
"20",3660.98668939532
"21",3647.51585139954
"22",3635.7047510897
"23",3625.34380277898
"24",3616.25107189787
"25",3608.26835091519
"26",3601.25785577656
"27",3595.09943042084
"28",3589.68817041282
"29",3584.93239465319
"30",3580.75190794781
"31",3577.07650797861
"32",3573.8446986727
"33",3571.0025786664
"34",3568.50287891425
"35",3566.30412780406
"36",3564.3699256358
"37",3562.6683131787
"38",3561.17122136876
"39",3559.85399115181
"40",3558.69495409251
"41",3557.67506572157
"42",3556.77758472852
"43",3555.98779206676
"44",3555.29274484967
"45",3554.68106060901
"46",3554.14272807665
"47",3553.6689411575
"48",3553.2519531956
"49",3552.88494901022
"50",3552.56193250198
"51",3552.27762790889
"52",3552.02739303465
"53",3551.8071429823
"54",3551.61328310949
"55",3551.442650081
"56",3551.29246003365
"57",3551.16026298971
"58",3551.0439027615
"59",3550.94148168223
