"","x"
"1",5222.91824865507
"2",4922.44761033142
"3",4808.95501501703
"4",5055.26136555111
"5",5148.08185101595
"6",4997.02088145144
"7",4793.75950973256
"8",4738.8699123091
"9",4498.2199673817
"10",4384.5312025774
"11",4661.9015223933
"12",4828.34298283114
"13",4817.18784602743
"14",4798.8546831634
"15",4858.32525707508
"16",4778.8664138372
"17",4742.64712767849
"18",4927.23472229218
"19",4925.57010839193
"20",4897.22691680863
"21",4959.13738757421
"22",5026.53577016224
"23",4928.53825508568
"24",4806.85585758472
"25",4762.51543356619
"26",4625.20771516824
"27",4704.89564135759
"28",4818.32732284154
"29",4894.58485888042
"30",4815.12271837638
"31",4712.73931176402
"32",4494.0480293275
"33",4312.63294706223
"34",4455.04457330253
"35",4578.32824305093
"36",4628.6762386624
"37",4598.90849259865
"38",4533.42538194132
"39",4276.18589914823
"40",4040.73888278793
"41",4224.42554327568
"42",4311.23705786173
"43",4282.47144438561
"44",4290.17613102111
"45",4199.14708620747
"46",3937.73460964428
"47",3757.64509046241
"48",3979.54372149862
"49",4054.53851154837
"50",4080.50819969678
"51",4159.33752032715
"52",4000.75786492363
"53",3764.56575836773
"54",3710.56414906679
"55",3888.64870754969
"56",3890.13962005945
"57",3925.53835271894
"58",4057.5468065282
"59",3874.75453096534
