"","x"
"1",5262.64644103453
"2",5018.66964373678
"3",4815.15329696395
"4",4778.43025786532
"5",4703.99751428338
"6",4604.51877696819
"7",4575.97516095316
"8",4596.32553673302
"9",4488.53629195948
"10",4372.82023573325
"11",4384.36396588395
"12",4380.36384231742
"13",4365.35743036971
"14",4406.97433553913
"15",4474.88248253837
"16",4406.21320178767
"17",4307.39578020519
"18",4308.68992756811
"19",4315.46074084763
"20",4315.97539385051
"21",4366.19875992427
"22",4438.9465612474
"23",4380.00876531216
"24",4278.36710338552
"25",4253.58366350098
"26",4256.89419880366
"27",4261.09490528502
"28",4310.15675336244
"29",4380.63257091669
"30",4327.1907693148
"31",4216.86333165017
"32",4165.6961838275
"33",4160.91470371082
"34",4165.96426720449
"35",4210.57617690101
"36",4280.19791553883
"37",4233.2791423505
"38",4111.34385437722
"39",4039.88918211163
"40",4022.91675986046
"41",4027.09897457515
"42",4062.06518819898
"43",4138.51237448379
"44",4099.66179850757
"45",3961.85736745152
"46",3877.58250720526
"47",3848.38219978867
"48",3849.58227469052
"49",3874.4283818667
"50",3958.44088794768
"51",3928.44862152031
"52",3771.51719408786
"53",3684.04098932193
"54",3653.08662964378
"55",3643.67174256109
"56",3667.11333694702
"57",3757.2368926482
"58",3732.39073300822
"59",3567.96157544461
