"","x"
"1",5274.33644259838
"2",5021.82859817714
"3",4852.4667068308
"4",4873.8861497325
"5",4848.36246133639
"6",4765.75819408429
"7",4665.21292406604
"8",4661.51245969539
"9",4504.89800712752
"10",4390.95985003817
"11",4488.84629156069
"12",4538.26611705453
"13",4559.47747760128
"14",4544.91465948598
"15",4592.62994085684
"16",4502.97803896438
"17",4429.82709656862
"18",4502.87224487091
"19",4527.70520075465
"20",4577.57221666704
"21",4585.67261859211
"22",4645.65259224105
"23",4595.66057880021
"24",4532.90110079814
"25",4546.66597664249
"26",4522.94443980173
"27",4576.86245942583
"28",4587.35387672934
"29",4639.82703223322
"30",4614.98104104097
"31",4533.3457866098
"32",4462.0330663723
"33",4419.66051997832
"34",4476.51171372024
"35",4489.45195269476
"36",4516.89009699596
"37",4518.11053287831
"38",4436.7974830939
"39",4307.29812045679
"40",4218.94265319878
"41",4288.0936232405
"42",4292.80406178844
"43",4311.71126414943
"44",4325.07984185267
"45",4226.24603100744
"46",4072.31714883584
"47",3983.09001355932
"48",4039.77908767032
"49",4049.8225789753
"50",4079.03394596613
"51",4109.37486166648
"52",3969.51337728735
"53",3800.00918335169
"54",3724.11747871926
"55",3757.51105838465
"56",3768.086611532
"57",3820.47689436561
"58",3861.82419125716
"59",3708.34353827021
