"","x"
"1",5375.31185417416
"2",5709.21875654566
"3",5817.00335914038
"4",5810.3983243815
"5",5814.8725375295
"6",5755.97722610066
"7",5706.71141523749
"8",5715.88991642459
"9",5741.05998033896
"10",5754.31736331904
"11",5757.82022498299
"12",5752.92895534365
"13",5745.01093396397
"14",5741.61651782787
"15",5743.14911389259
"16",5745.89845515054
"17",5747.60335277682
"18",5747.74671715006
"19",5746.85633956787
"20",5745.97802444326
"21",5745.72164954632
"22",5745.96080144699
"23",5746.30298223665
"24",5746.48433338068
"25",5746.45909213108
"26",5746.33494831479
"27",5746.2398132063
"28",5746.2236714238
"29",5746.26041448317
"30",5746.30182465388
"31",5746.31879141235
"32",5746.31118235538
"33",5746.29516074353
"34",5746.28515757527
"35",5746.2849973825
"36",5746.29027959995
"37",5746.29506142411
"38",5746.29642923886
"39",5746.29503471666
"40",5746.29305519881
"41",5746.29206037527
"42",5746.29225446439
"43",5746.29296778187
"44",5746.29349504662
"45",5746.29357424225
"46",5746.29335743993
"47",5746.29312221494
"48",5746.29303163259
"49",5746.29307928402
"50",5746.29317083837
"51",5746.29322609057
"52",5746.29322525065
"53",5746.29319444072
"54",5746.29316758353
"55",5746.29316053521
"56",5746.29316890002
"57",5746.29318015263
"58",5746.29318557763
"59",5746.2931842642
