"","x"
"1",5635.7079002694
"2",6017.55517625462
"3",6007.55199542581
"4",5977.77802371268
"5",6031.61975683191
"6",5962.58855208153
"7",6042.963581934
"8",6296.19153935701
"9",6336.03286913856
"10",6176.03857275511
"11",6136.00475473034
"12",6160.48025710271
"13",6141.86230005961
"14",6272.26781293926
"15",6514.42472591151
"16",6510.1398488309
"17",6312.89331862373
"18",6249.11332587999
"19",6261.78010940575
"20",6236.35752891293
"21",6357.93327453508
"22",6585.57996008261
"23",6560.98356873842
"24",6343.099528257
"25",6261.81014505062
"26",6258.84659879469
"27",6218.28768995088
"28",6323.55178274091
"29",6532.82256443404
"30",6491.15005514695
"31",6259.08901931079
"32",6162.97160789914
"33",6144.49820956703
"34",6089.42725113766
"35",6177.11875555979
"36",6365.77755170278
"37",6309.70412647927
"38",6069.47011271448
"39",5962.11227868966
"40",5930.41728531145
"41",5863.84451595664
"42",5934.95947228301
"43",6102.79555736806
"44",6036.05514501733
"45",5794.08135032801
"46",5679.98923891856
"47",5638.59653293018
"48",5564.5786879519
"49",5621.57755079524
"50",5770.15314746831
"51",5697.15719225878
"52",5459.6575294503
"53",5343.60438653373
"54",5296.56996403096
"55",5219.44779992801
"56",5265.64318515021
"57",5397.7723330176
"58",5322.95906217693
"59",5095.21282663
